Time [s],CH2 [V]
4.000000e-03,-1.460000000000,
4.000000e-03,-1.400000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.520000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.440000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.440000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.540000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.540000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.640000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.520000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.400000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.440000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.440000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.360000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.560000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.520000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.440000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.500000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.520000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.440000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.460000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,-1.480000000000,
4.000000e-03,1.320000000000,
4.000000e-03,1.340000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.380000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.380000000000,
4.000000e-03,1.380000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.380000000000,
4.000000e-03,1.340000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.380000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.360000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.380000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.420000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.520000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.300000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.400000000000,
4.000000e-03,1.460000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.520000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.440000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.520000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.280000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.520000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.480000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
4.000000e-03,1.500000000000,
